Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",805,3,0.1uF,C1790
C4,805,1,10uF,C15850
"C5, C6",805,2,22pF,C1804
C7,504,1,1uF,C15849 
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,16,D_Small,C81598
F1,1206,1,500mA,C70077
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C319148
"R1, R9",805,2,10k,C17414
"R2, R3",805,2,5.1k,C27834
"R5, R6",805,2,22,C17561
SW1,SKQG-1155865,1,SW_Push,C2762971
U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-MU,C112161
U2,SOT-23-6,1,USBLC6-2SC6,C2687116
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16 MHz,C13738
